location,Basileia,Basileia,Basileia
lat,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697
variable,Temperature,Wind Speed,Wind Direction
unit,°C,km/h,°
level,2 m elevation corrected,10 m,10 m
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Temperature,Wind Speed,Wind Direction
20241011T1800,12.540529,5.0528407,355.91437
20241011T1900,11.470529,0.8049845,26.565033
20241011T2000,10.830529,1.8,143.1301
20241011T2100,10.090529,3.096837,125.537674
20241011T2200,9.450529,7.4128532,119.054596
20241011T2300,8.440529,9.511088,119.47589
20241012T0000,7.6505284,9.504272,127.30394
20241012T0100,7.2505283,8.942214,130.1009
20241012T0200,6.9605284,9.726664,128.991
20241012T0300,7.0205283,12.096214,126.528854
20241012T0400,6.8205285,14.480773,124.87533
20241012T0500,6.2105284,14.386494,121.70142
20241012T0600,5.1805286,14.693999,120.963745
20241012T0700,6.6505284,14.8257065,119.054596
20241012T0800,9.310529,15.463246,114.77513
20241012T0900,12.210529,15.596767,108.85315
20241012T1000,13.710529,12.783802,99.72758
20241012T1100,16.38053,10.086427,124.82449
20241012T1200,18.190529,4.32,180.0
20241012T1300,16.740528,2.0991426,210.96376
20241012T1400,16.610529,5.95906,205.01689
20241012T1500,16.160528,10.853866,185.71059
20241012T1600,14.110529,13.339445,183.09406
20241012T1700,13.210529,16.23596,183.81407
20241012T1800,13.310529,18.391735,176.63354
20241012T1900,12.890529,14.693999,149.03624
20241012T2000,13.980529,12.10157,157.24902
20241012T2100,14.5505295,8.669949,175.23636
20241012T2200,14.970529,5.00128,210.25644
20241012T2300,14.970529,10.315115,240.75117
20241013T0000,15.620529,18.193361,242.92792
20241013T0100,15.420529,19.05281,247.79654
20241013T0200,15.350529,18.204042,245.46228
20241013T0300,15.260529,17.418196,251.93953
20241013T0400,15.400529,20.008356,261.72412
20241013T0500,15.030529,20.633371,263.991
20241013T0600,14.560529,18.175545,262.0304
20241013T0700,15.340529,19.09358,267.83893
20241013T0800,16.270529,24.122683,270.8551
20241013T0900,15.660529,24.798223,283.43103
20241013T1000,14.400529,21.485697,301.29303
20241013T1100,14.540529,19.130875,289.7989
20241013T1200,16.490528,20.478907,280.1247
20241013T1300,16.360529,18.430452,282.4074
20241013T1400,16.05053,15.745627,280.53918
20241013T1500,16.340528,14.84318,284.03625
20241013T1600,15.740529,13.089354,301.50427
20241013T1700,14.610529,7.5942082,301.42957
20241013T1800,13.920529,2.5455842,261.8699
20241013T1900,13.450529,3.396233,147.99461
20241013T2000,13.280529,6.489992,123.69006
20241013T2100,12.100529,9.0,106.2602
20241013T2200,10.660529,10.24578,108.434944
20241013T2300,9.540529,9.779817,96.34019
20241014T0000,8.740529,7.5942073,95.44032
20241014T0100,8.290529,6.638072,102.52881
20241014T0200,8.450529,5.815978,111.80141
20241014T0300,8.970529,7.42159,104.03624
20241014T0400,9.100529,6.0347,107.35402
20241014T0500,9.0505295,5.634891,116.56505
20241014T0600,9.010529,6.12,118.07248
20241014T0700,10.190529,5.1919937,123.69006
20241014T0800,12.070529,7.2,126.869896
20241014T0900,14.160529,7.24486,116.56505
20241014T1000,16.340528,2.8799999,89.99999
20241014T1100,18.090528,2.0364676,315.0
20241014T1200,21.45053,4.32,270.0
20241014T1300,21.97053,12.661564,284.82648
20241014T1400,21.600529,21.24,270.0
20241014T1500,21.62053,19.08,270.0
20241014T1600,20.840528,13.722565,274.51398
20241014T1700,19.65053,8.4042845,279.8658
20241014T1800,18.940529,5.315336,241.69925
20241014T1900,17.510529,7.42159,219.09386
20241014T2000,15.600529,8.766573,199.17902
20241014T2100,14.560529,9.531505,169.11447
20241014T2200,14.420529,8.891344,158.62938
20241014T2300,14.340529,8.225035,156.8014
20241015T0000,14.460529,6.792466,147.99461
20241015T0100,14.350529,6.763786,154.79887
20241015T0200,14.440529,6.379216,163.61046
20241015T0300,14.610529,5.3517847,132.27368
20241015T0400,13.850529,7.69592,100.784294
20241015T0500,12.390529,9.793058,107.10272
20241015T0600,11.910529,10.931203,107.241455
20241015T0700,12.680529,12.0694,107.35402
20241015T0800,15.290529,13.493999,99.21102
20241015T0900,17.860529,15.542662,103.392494
20241015T1000,20.530529,16.24394,102.80426
20241015T1100,21.89053,17.727943,102.90741
20241015T1200,17.22053,14.408997,167.00539
20241015T1300,16.610529,13.584932,147.99461
20241015T1400,17.330528,14.003028,136.04163
20241015T1500,16.490528,20.767975,123.69006
20241015T1600,17.22053,19.08,121.89079
20241015T1700,16.73053,17.709658,116.56505
20241015T1800,15.780529,16.78156,112.71441
20241015T1900,15.440529,15.256526,109.29004
20241015T2000,15.3005295,12.43434,112.10944
20241015T2100,15.260529,14.20062,120.465546
20241015T2200,15.360529,15.807239,120.06859
20241015T2300,15.130529,15.575981,123.69006
20241016T0000,14.690529,15.1884165,121.429565
20241016T0100,14.270529,12.682018,124.592285
20241016T0200,13.860529,10.990322,121.6075
20241016T0300,13.500529,9.021574,118.61046
20241016T0400,12.580529,9.659814,116.56505
20241016T0500,12.060529,12.245293,114.30454
20241016T0600,13.280529,12.984975,133.8767
20241016T0700,13.470529,12.979984,86.82017
20241016T0800,15.060529,16.45007,113.19859
20241016T0900,16.180529,15.893093,103.09189
20241016T1000,18.04053,14.154915,97.305756
20241016T1100,19.64053,13.004921,94.76365
20241016T1200,18.72053,10.799999,89.99999
20241016T1300,20.100529,14.440443,85.710846
20241016T1400,21.32053,13.979871,101.88866
20241016T1500,21.490528,16.394829,109.230675
20241016T1600,20.330528,17.58481,112.89055
20241016T1700,18.97053,16.09969,116.56505
20241016T1800,18.05053,16.434305,118.81079
20241016T1900,16.940529,15.629971,118.92642
20241016T2000,16.340528,14.33234,115.27772
20241016T2100,16.05053,14.372974,112.0679
20241016T2200,16.030529,13.202726,115.86635
20241016T2300,15.930529,11.620809,106.1892
20241017T0000,16.020529,10.464797,116.56505
20241017T0100,14.610529,12.72283,115.11483
20241017T0200,13.710529,13.708391,113.19859
20241017T0300,12.990529,13.37825,113.80594
20241017T0400,11.350529,9.19939,120.57922
20241017T0500,11.340529,7.628263,109.29004
20241017T0600,11.780529,6.297428,120.963745
20241017T0700,13.130529,5.937272,104.03624
20241017T0800,13.560529,7.628263,109.29004
20241017T0900,14.160529,5.937272,104.03624
20241017T1000,15.180529,2.6208394,105.9454
20241017T1100,17.610529,2.2768397,71.56504
20241017T1200,19.830528,4.1046314,15.255127
20241017T1300,21.240528,12.313893,105.25512
20241017T1400,21.430529,11.874544,104.03624
20241017T1500,20.80053,9.826088,98.42697
20241017T1600,20.010529,9.0,106.2602
20241017T1700,19.190529,5.0911684,135.0
20241017T1800,18.30053,4.0249224,153.43495
20241017T1900,17.490528,2.9024127,187.12502
20241017T2000,17.190529,4.1046314,232.12502
20241017T2100,16.81053,4.1046314,217.87498
20241017T2200,16.30053,2.5959969,213.69006
20241017T2300,16.15053,1.4399999,180.0
20241018T0000,15.370529,5.634891,153.43495
20241018T0100,14.580529,4.1046314,142.12502
20241018T0200,14.380529,3.9763298,95.19443
20241018T0300,14.170529,5.506941,101.30993
20241018T0400,13.740529,2.2768397,161.56505
20241018T0500,13.790529,1.4399999,180.0
20241018T0600,13.930529,2.3051248,141.34018
20241018T0700,13.720529,2.1897945,80.537674
20241018T0800,14.010529,3.6,270.0
20241018T0900,16.350529,9.826088,278.42697
20241018T1000,17.760529,12.661564,284.82648
20241018T1100,17.90053,13.039754,276.34018
20241018T1200,17.15053,12.849528,258.69006
